Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2020-01-02,73.7859115600586,222.91317749023438,121.98824310302734,331.34857177734375,141.76670837402344,166.99000549316406,45.233909606933594,107.17886352539062,148.1999969482422,47.76545715332031,223.54408264160156,208.94473266601562,171.86770629882812,114.33961486816406,56.97569274902344,137.72926330566406,131.04795837402344,51.153865814208984,190.45794677734375,164.9222869873047,81.41466522216797,156.9243927001953,100.25091552734375,116.19775390625,130.1939239501953,282.93695068359375,188.12513732910156,54.6242790222168,53.32905960083008,114.29669952392578
2020-01-03,73.06856536865234,221.39987182617188,120.77660369873047,330.7919006347656,139.7983856201172,166.1699981689453,44.49589538574219,106.80815887451172,146.5,46.583534240722656,220.93006896972656,208.25033569335938,170.032958984375,113.42774200439453,56.28269577026367,136.1346893310547,129.31863403320312,50.874786376953125,189.78448486328125,163.50210571289062,80.71586608886719,154.97039794921875,99.97627258300781,115.41624450683594,129.73001098632812,280.0736999511719,186.6289520263672,54.04269027709961,53.32905960083008,113.28767395019531
2020-01-06,73.65080261230469,223.09886169433594,120.25318145751953,331.7660827636719,139.70420837402344,173.4499969482422,44.65470504760742,106.44625854492188,145.64999389648438,46.39691925048828,223.1910858154297,209.2301025390625,168.7495880126953,113.22509002685547,56.12349319458008,135.96485900878906,129.21578979492188,50.85618209838867,191.91868591308594,163.6578826904297,81.06085205078125,155.3709716796875,99.88797760009766,115.57630920410156,129.87203979492188,282.0179748535156,186.22540283203125,53.92637634277344,53.78941345214844,113.05706024169922
2020-01-07,73.3044204711914,221.00062561035156,119.62311553955078,335.28515625,137.85833740234375,176.0,44.36510467529297,105.08700561523438,145.6999969482422,46.37914276123047,224.66030883789062,207.86033630371094,168.8446502685547,113.30107879638672,55.18701171875,136.795166015625,127.01905059814453,50.46548843383789,192.20326232910156,162.9982147216797,78.90251922607422,153.95431518554688,99.83892822265625,114.86073303222656,127.96896362304688,280.3155517578125,185.7332305908203,53.3268928527832,53.51861572265625,112.00960540771484
2020-01-08,74.4836196899414,221.16773986816406,121.68775177001953,329.41009521484375,139.08261108398438,177.3300018310547,44.393131256103516,103.88662719726562,145.39999389648438,46.85902786254883,226.8258819580078,210.97080993652344,168.98727416992188,114.24674224853516,55.224456787109375,136.7763214111328,128.00990295410156,50.55852127075195,195.31448364257812,165.49951171875,78.3718032836914,156.40658569335938,99.61334228515625,115.35034942626953,129.34181213378906,286.22576904296875,188.91261291503906,53.42531204223633,50.39542770385742,111.62523651123047
2020-01-09,76.0656967163086,221.82691955566406,123.88809204101562,334.3507080078125,138.73416137695312,179.60000610351562,44.20628356933594,103.71891784667969,144.8300018310547,46.37914276123047,231.4433135986328,214.20494079589844,170.2326202392578,115.45413208007812,55.533504486083984,137.18202209472656,128.47732543945312,51.47944641113281,197.62892150878906,166.02178955078125,79.0617446899414,158.3605499267578,99.54467010498047,116.6120376586914,130.29808044433594,284.6007385253906,190.2217559814453,53.20381546020508,49.357364654541016,112.77837371826172
2020-01-10,76.23765563964844,221.20489501953125,123.3743667602539,327.96868896484375,137.6228790283203,180.1999969482422,44.02879333496094,102.77449035644531,144.6199951171875,45.76597213745117,230.97581481933594,213.28228759765625,169.86184692382812,115.41189575195312,55.19636917114258,136.8706512451172,127.19666290283203,51.656192779541016,196.6044921875,165.35292053222656,79.1944351196289,157.6278533935547,98.97572326660156,116.72500610351562,128.30032348632812,285.48095703125,190.73362731933594,53.33039093017578,48.942138671875,111.83662414550781
2020-01-13,77.86643981933594,219.96080017089844,124.59567260742188,328.26690673828125,138.27268981933594,183.85000610351562,44.81351852416992,102.96866607666016,143.8800048828125,46.521331787109375,233.9333038330078,212.4451904296875,172.3240203857422,115.33592224121094,55.80508041381836,137.4745330810547,128.25296020507812,52.21433639526367,195.88360595703125,165.76524353027344,79.17672729492188,159.523193359375,100.21170043945312,117.58184051513672,129.01043701171875,276.50433349609375,192.2691650390625,53.475040435791016,48.7977180480957,111.35615539550781
2020-01-14,76.81497192382812,222.82032775878906,124.84771728515625,330.3843078613281,138.14085388183594,182.1199951171875,44.645362854003906,102.65091705322266,145.1999969482422,46.423580169677734,234.36257934570312,211.94105529785156,171.54449462890625,114.67733764648438,55.655250549316406,138.2482452392578,129.74864196777344,52.093406677246094,196.65194702148438,166.17752075195312,79.5482406616211,158.39967346191406,100.95719909667969,117.40294647216797,129.37966918945312,278.81622314453125,192.97789001464844,53.37559127807617,49.303199768066406,111.64444732666016
2020-01-15,76.48578643798828,224.39865112304688,125.83642578125,327.8493957519531,137.09548950195312,181.05999755859375,44.850887298583984,102.50086212158203,144.32000732421875,46.45024108886719,233.9333038330078,213.6342315673828,171.8106689453125,115.35281372070312,55.19636917114258,138.7105712890625,127.80427551269531,52.744571685791016,198.9758758544922,164.72073364257812,80.9723892211914,159.4254913330078,100.82968139648438,118.59872436523438,130.25074768066406,286.7190856933594,196.66912841796875,53.429832458496094,49.13169860839844,110.77958679199219
